Date,State
"2019-10-27T20:29:29.288Z","on"
"2019-10-29T19:16:49.358Z","off"
"2019-11-08T06:53:12.412Z","off"
"2019-11-08T06:53:44.048Z","on"
"2019-11-08T06:53:46.607Z","off"
"2019-11-08T06:54:12.004Z","on"
"2019-11-08T06:54:16.296Z","off"
"2019-11-08T06:54:20.186Z","on"
"2019-11-08T06:54:28.788Z","off"
"2019-11-08T06:54:34.727Z","on"
"2019-11-08T06:54:40.461Z","off"
"2019-11-08T06:54:53.875Z","on"
"2019-11-08T06:54:57.871Z","off"
"2019-11-08T06:55:04.530Z","on"
"2019-11-08T06:55:14.252Z","off"
"2019-11-08T06:55:20.805Z","on"
"2019-11-08T06:55:21.111Z","on"
"2019-11-08T06:55:22.955Z","off"
"2019-11-08T06:55:24.405Z","off"
"2019-11-08T06:55:25.106Z","off"
"2019-11-08T06:55:29.202Z","off"
"2019-11-08T06:55:34.018Z","on"
"2019-11-08T06:55:36.888Z","off"
"2019-11-08T06:55:41.484Z","on"
"2019-11-08T06:55:44.160Z","off"
"2019-11-08T06:55:45.537Z","on"
"2019-11-08T06:55:45.537Z","off"
"2019-11-08T06:55:55.518Z","on"
"2019-11-08T06:55:58.488Z","off"
"2019-11-08T06:56:13.540Z","on"
"2019-11-08T06:56:17.234Z","off"
"2019-11-08T06:56:19.076Z","off"
"2019-11-08T06:56:25.835Z","on"
"2019-11-08T06:56:27.780Z","off"
"2019-11-08T06:56:31.280Z","off"
"2019-11-08T06:56:35.460Z","off"
"2019-11-08T06:56:44.574Z","on"
"2019-11-08T06:56:46.929Z","off"
"2019-11-08T06:57:24.098Z","off"
"2019-11-08T06:57:26.965Z","on"
"2019-11-08T06:57:29.081Z","off"
"2019-11-08T06:57:42.940Z","on"
"2019-11-08T06:57:44.249Z","off"
"2019-11-08T06:58:01.169Z","on"
"2019-11-08T06:58:03.112Z","off"
"2019-11-08T06:59:09.575Z","on"
"2019-11-08T06:59:10.635Z","off"
"2019-11-08T07:00:12.645Z","on"
"2019-11-08T07:00:15.512Z","off"
"2019-11-21T08:11:01.064Z","off"
"2019-11-21T08:16:36.669Z","off"
"2019-11-21T08:16:36.708Z","off"
